
$NEW TRACK
HR	 MIN	 SEC	 MSEC	 X(px)	 Y(px)
15	 29	 12	 0689	0393	 0242
15	 29	 12	 0765	0388	 0237
15	 29	 12	 0821	0384	 0236
15	 29	 12	 0891	0379	 0236
15	 29	 12	 0955	0375	 0238
15	 29	 13	 0031	0373	 0239
15	 29	 13	 0086	0369	 0243
15	 29	 13	 0141	0367	 0247
15	 29	 13	 0199	0366	 0250
15	 29	 13	 0265	0367	 0255
15	 29	 13	 0319	0369	 0260
15	 29	 13	 0373	0376	 0264
15	 29	 13	 0439	0376	 0264
15	 29	 13	 0515	0385	 0265
15	 29	 13	 0570	0389	 0263
15	 29	 13	 0634	0392	 0260
15	 29	 13	 0686	0394	 0258
15	 29	 13	 0751	0395	 0251
15	 29	 13	 0831	0394	 0249
15	 29	 13	 0900	0393	 0244
15	 29	 13	 0953	0389	 0241
15	 29	 14	 0033	0384	 0238
15	 29	 14	 0093	0382	 0237
15	 29	 14	 0139	0377	 0239
15	 29	 14	 0206	0374	 0239
15	 29	 14	 0280	0369	 0244
15	 29	 14	 0336	0366	 0248
15	 29	 14	 0391	0366	 0250
15	 29	 14	 0456	0366	 0254
15	 29	 14	 0532	0367	 0259
15	 29	 14	 0587	0371	 0263
15	 29	 14	 0641	0375	 0266
15	 29	 14	 0697	0377	 0267
15	 29	 14	 0750	0382	 0267
15	 29	 14	 0829	0386	 0266
15	 29	 14	 0883	0390	 0262
15	 29	 14	 0939	0393	 0257
15	 29	 15	 0015	0393	 0253
15	 29	 15	 0070	0393	 0247
15	 29	 15	 0133	0391	 0243
15	 29	 15	 0197	0389	 0241
15	 29	 15	 0268	0384	 0238
15	 29	 15	 0344	0377	 0237
15	 29	 15	 0424	0372	 0238
15	 29	 15	 0502	0367	 0242
15	 29	 15	 0546	0365	 0245
15	 29	 15	 0611	0364	 0248
15	 29	 15	 0653	0364	 0252
15	 29	 15	 0719	0365	 0256
15	 29	 15	 0791	0368	 0261
15	 29	 15	 0860	0371	 0263
15	 29	 15	 0927	0375	 0266
15	 29	 16	 0002	0379	 0266
15	 29	 16	 0055	0382	 0265
15	 29	 16	 0128	0386	 0263
15	 29	 16	 0204	0389	 0259
15	 29	 16	 0249	0392	 0254
15	 29	 16	 0313	0393	 0250
15	 29	 16	 0391	0392	 0245
15	 29	 16	 0469	0389	 0241
15	 29	 16	 0525	0384	 0237
15	 29	 16	 0595	0379	 0236
15	 29	 16	 0647	0373	 0236
15	 29	 16	 0711	0368	 0239
15	 29	 16	 0764	0366	 0240
15	 29	 16	 0830	0364	 0245
15	 29	 16	 0873	0362	 0250
15	 29	 16	 0922	0363	 0252
15	 29	 16	 0979	0364	 0257
15	 29	 17	 0034	0365	 0260
15	 29	 17	 0086	0369	 0263
15	 29	 17	 0156	0373	 0265
15	 29	 17	 0211	0377	 0266
15	 29	 17	 0266	0379	 0265
15	 29	 17	 0332	0384	 0263
15	 29	 17	 0408	0387	 0261
15	 29	 17	 0464	0390	 0258
15	 29	 17	 0534	0392	 0254
15	 29	 17	 0576	0392	 0250
15	 29	 17	 0642	0391	 0248
15	 29	 17	 0705	0389	 0244
15	 29	 17	 0760	0385	 0240
15	 29	 17	 0830	0381	 0238
15	 29	 17	 0893	0376	 0236
15	 29	 17	 0969	0372	 0237
15	 29	 18	 0026	0368	 0239
15	 29	 18	 0098	0364	 0244
15	 29	 18	 0173	0362	 0249
15	 29	 18	 0234	0362	 0254
15	 29	 18	 0289	0364	 0260
15	 29	 18	 0342	0368	 0264
15	 29	 18	 0410	0370	 0266
15	 29	 18	 0484	0377	 0267
15	 29	 18	 0540	0382	 0266
15	 29	 18	 0591	0385	 0266
15	 29	 18	 0657	0389	 0262
15	 29	 18	 0703	0390	 0261
15	 29	 18	 0769	0392	 0257
15	 29	 18	 0844	0392	 0253
15	 29	 18	 0902	0391	 0248
15	 29	 18	 0969	0388	 0245
15	 29	 19	 0023	0384	 0242
15	 29	 19	 0078	0380	 0240
15	 29	 19	 0133	0378	 0239
15	 29	 19	 0202	0374	 0240
15	 29	 19	 0268	0370	 0242
15	 29	 19	 0313	0366	 0245
15	 29	 19	 0376	0364	 0247
15	 29	 19	 0435	0362	 0251
15	 29	 19	 0501	0361	 0256
15	 29	 19	 0565	0362	 0261
15	 29	 19	 0618	0365	 0265
15	 29	 19	 0673	0369	 0269
15	 29	 19	 0733	0372	 0270
15	 29	 19	 0788	0377	 0270
15	 29	 19	 0843	0383	 0269
15	 29	 19	 0901	0385	 0268
15	 29	 19	 0969	0388	 0264
15	 29	 20	 0023	0390	 0260
15	 29	 20	 0087	0390	 0254
15	 29	 20	 0142	0389	 0249
15	 29	 20	 0205	0388	 0247
15	 29	 20	 0281	0382	 0242
15	 29	 20	 0326	0380	 0242
15	 29	 20	 0409	0376	 0241
15	 29	 20	 0462	0371	 0242
15	 29	 20	 0516	0366	 0244
15	 29	 20	 0592	0363	 0248
15	 29	 20	 0653	0360	 0252
15	 29	 20	 0717	0360	 0254
15	 29	 20	 0798	0361	 0261
15	 29	 20	 0862	0363	 0265
15	 29	 20	 0938	0367	 0269
15	 29	 20	 0982	0372	 0271
15	 29	 21	 0050	0376	 0271
15	 29	 21	 0125	0381	 0271
15	 29	 21	 0194	0384	 0268
15	 29	 21	 0248	0387	 0264
15	 29	 21	 0316	0388	 0261
15	 29	 21	 0391	0390	 0243
15	 29	 21	 0472	0385	 0239
15	 29	 21	 0533	0384	 0244
15	 29	 21	 0596	0380	 0242
15	 29	 21	 0672	0374	 0241
15	 29	 21	 0781	0360	 0178
15	 29	 21	 0838	0359	 0178
15	 29	 21	 0883	0456	 0290
15	 29	 21	 0992	0355	 0179
15	 29	 22	 0046	0369	 0176
15	 29	 22	 0101	0368	 0176
15	 29	 22	 0175	0366	 0176
15	 29	 22	 0251	0364	 0177
15	 29	 22	 0311	0363	 0177
15	 29	 22	 0378	0361	 0178
15	 29	 22	 0420	0359	 0178
15	 29	 22	 0487	0357	 0178
15	 29	 22	 0563	0356	 0179
15	 29	 22	 0626	0354	 0179
15	 29	 22	 0703	0353	 0179
15	 29	 22	 0758	0351	 0180
15	 29	 22	 0811	0350	 0180
15	 29	 22	 0877	0349	 0181
$$END TRACK
$NEW TRACK
HR	 MIN	 SEC	 MSEC	 X(px)	 Y(px)
15	 29	 22	 0046	0360	 0263
15	 29	 22	 0101	0362	 0265
15	 29	 22	 0175	0365	 0268
15	 29	 22	 0251	0371	 0271
15	 29	 22	 0311	0373	 0271
15	 29	 22	 0378	0377	 0269
15	 29	 22	 0420	0381	 0268
15	 29	 22	 0487	0385	 0264
15	 29	 22	 0563	0387	 0260
15	 29	 22	 0626	0388	 0256
15	 29	 22	 0703	0388	 0251
15	 29	 22	 0758	0386	 0247
15	 29	 22	 0811	0383	 0243
15	 29	 22	 0877	0380	 0242
$$END TRACK
$NEW TRACK
HR	 MIN	 SEC	 MSEC	 X(px)	 Y(px)
15	 29	 15	 0611	0427	 0203
15	 29	 15	 0653	0426	 0200
15	 29	 15	 0719	0425	 0199
15	 29	 15	 0791	0423	 0197
15	 29	 15	 0860	0422	 0195
15	 29	 15	 0927	0420	 0195
15	 29	 16	 0002	0418	 0193
15	 29	 16	 0055	0415	 0192
15	 29	 16	 0128	0413	 0191
15	 29	 16	 0204	0411	 0190
15	 29	 16	 0249	0409	 0189
15	 29	 16	 0313	0408	 0187
15	 29	 16	 0391	0406	 0186
15	 29	 16	 0469	0404	 0185
15	 29	 16	 0525	0402	 0185
15	 29	 16	 0595	0399	 0185
15	 29	 16	 0647	0397	 0184
15	 29	 16	 0711	0394	 0184
15	 29	 16	 0764	0393	 0183
15	 29	 16	 0830	0391	 0183
