
$NEW TRACK
HR	 MIN	 SEC	 MSEC	 X(px)	 Y(px)
15	 55	 03	 0769	0176	 0257
15	 55	 03	 0832	0176	 0258
15	 55	 03	 0902	0176	 0259
15	 55	 03	 0978	0176	 0259
15	 55	 04	 0033	0177	 0260
15	 55	 04	 0106	0177	 0261
15	 55	 04	 0182	0177	 0261
15	 55	 04	 0260	0178	 0262
15	 55	 04	 0332	0178	 0263
15	 55	 04	 0404	0178	 0264
15	 55	 04	 0473	0178	 0264
15	 55	 04	 0557	0179	 0265
15	 55	 04	 0634	0179	 0266
15	 55	 04	 0716	0180	 0266
15	 55	 04	 0794	0180	 0267
15	 55	 04	 0871	0181	 0268
15	 55	 04	 0942	0181	 0269
15	 55	 05	 0014	0181	 0269
15	 55	 05	 0087	0182	 0270
15	 55	 05	 0168	0182	 0271
15	 55	 05	 0243	0183	 0271
15	 55	 05	 0301	0183	 0272
15	 55	 05	 0388	0184	 0273
15	 55	 05	 0466	0184	 0274
15	 55	 05	 0540	0185	 0275
15	 55	 05	 0605	0185	 0275
15	 55	 05	 0683	0186	 0276
15	 55	 05	 0746	0187	 0277
15	 55	 05	 0822	0188	 0278
15	 55	 05	 0905	0188	 0279
15	 55	 05	 0981	0188	 0280
15	 55	 06	 0049	0189	 0281
15	 55	 06	 0137	0189	 0281
15	 55	 06	 0216	0190	 0282
15	 55	 06	 0291	0191	 0283
15	 55	 06	 0368	0191	 0284
15	 55	 06	 0423	0192	 0285
15	 55	 06	 0478	0192	 0286
15	 55	 06	 0533	0192	 0286
15	 55	 06	 0595	0193	 0286
15	 55	 06	 0667	0193	 0287
15	 55	 06	 0748	0193	 0288
15	 55	 06	 0821	0194	 0289
15	 55	 06	 0877	0195	 0289
15	 55	 06	 0951	0195	 0290
15	 55	 07	 0025	0195	 0291
15	 55	 07	 0080	0196	 0291
15	 55	 07	 0149	0196	 0292
15	 55	 07	 0207	0196	 0292
15	 55	 07	 0274	0196	 0293
15	 55	 07	 0341	0197	 0293
15	 55	 07	 0417	0197	 0294
15	 55	 07	 0480	0198	 0295
15	 55	 07	 0553	0198	 0295
15	 55	 07	 0637	0199	 0296
15	 55	 07	 0714	0199	 0297
15	 55	 07	 0791	0199	 0298
15	 55	 07	 0861	0200	 0298
15	 55	 07	 0932	0200	 0298
15	 55	 08	 0009	0201	 0299
15	 55	 08	 0066	0202	 0299
15	 55	 08	 0151	0202	 0300
15	 55	 08	 0222	0203	 0301
15	 55	 08	 0308	0203	 0302
15	 55	 08	 0385	0204	 0302
15	 55	 08	 0443	0204	 0303
15	 55	 08	 0505	0205	 0303
15	 55	 08	 0588	0206	 0304
15	 55	 08	 0643	0206	 0304
15	 55	 08	 0713	0207	 0305
15	 55	 08	 0767	0208	 0305
15	 55	 08	 0823	0208	 0306
15	 55	 08	 0886	0209	 0306
15	 55	 08	 0930	0209	 0306
15	 55	 08	 0997	0210	 0307
15	 55	 09	 0073	0210	 0307
15	 55	 09	 0142	0211	 0308
15	 55	 09	 0196	0212	 0308
15	 55	 09	 0271	0212	 0309
15	 55	 09	 0332	0213	 0309
15	 55	 09	 0419	0213	 0310
15	 55	 09	 0494	0214	 0311
15	 55	 09	 0541	0214	 0311
15	 55	 09	 0622	0215	 0312
15	 55	 09	 0699	0216	 0312
15	 55	 09	 0778	0216	 0312
15	 55	 09	 0854	0217	 0313
15	 55	 09	 0931	0218	 0313
15	 55	 09	 0994	0219	 0314
15	 55	 10	 0051	0219	 0314
15	 55	 10	 0111	0219	 0315
15	 55	 10	 0182	0220	 0315
15	 55	 10	 0236	0221	 0316
15	 55	 10	 0290	0221	 0316
15	 55	 10	 0348	0222	 0316
15	 55	 10	 0418	0222	 0317
15	 55	 10	 0492	0223	 0317
15	 55	 10	 0551	0224	 0318
15	 55	 10	 0607	0224	 0318
15	 55	 10	 0675	0224	 0319
15	 55	 10	 0744	0225	 0319
15	 55	 10	 0822	0226	 0319
15	 55	 10	 0903	0227	 0320
15	 55	 10	 0963	0228	 0321
15	 55	 11	 0043	0228	 0321
15	 55	 11	 0087	0229	 0322
15	 55	 11	 0169	0229	 0322
15	 55	 11	 0246	0230	 0323
15	 55	 11	 0323	0230	 0323
15	 55	 11	 0393	0231	 0323
15	 55	 11	 0450	0232	 0324
15	 55	 11	 0526	0232	 0324
15	 55	 11	 0606	0233	 0325
15	 55	 11	 0686	0233	 0325
15	 55	 11	 0760	0234	 0326
15	 55	 11	 0843	0235	 0326
15	 55	 11	 0909	0235	 0326
15	 55	 11	 0978	0235	 0327
15	 55	 12	 0057	0236	 0326
15	 55	 12	 0134	0237	 0327
15	 55	 12	 0189	0237	 0327
15	 55	 12	 0245	0237	 0327
15	 55	 12	 0305	0238	 0328
15	 55	 12	 0361	0238	 0328
15	 55	 12	 0418	0238	 0328
15	 55	 12	 0477	0239	 0328
15	 55	 12	 0546	0240	 0328
15	 55	 12	 0624	0240	 0328
15	 55	 12	 0698	0241	 0328
15	 55	 12	 0772	0241	 0329
15	 55	 12	 0840	0241	 0329
15	 55	 12	 0916	0242	 0329
15	 55	 12	 0971	0242	 0329
15	 55	 13	 0045	0243	 0329
15	 55	 13	 0121	0244	 0329
15	 55	 13	 0198	0245	 0329
15	 55	 13	 0242	0246	 0329
15	 55	 13	 0309	0246	 0329
15	 55	 13	 0355	0246	 0330
15	 55	 13	 0433	0247	 0330
15	 55	 13	 0509	0247	 0330
15	 55	 13	 0565	0248	 0330
15	 55	 13	 0622	0249	 0330
15	 55	 13	 0689	0249	 0330
15	 55	 13	 0746	0250	 0330
15	 55	 13	 0817	0250	 0330
15	 55	 13	 0887	0251	 0330
15	 55	 13	 0964	0252	 0330
15	 55	 14	 0040	0253	 0331
15	 55	 14	 0123	0254	 0331
15	 55	 14	 0197	0254	 0331
15	 55	 14	 0280	0255	 0331
15	 55	 14	 0356	0256	 0331
15	 55	 14	 0434	0257	 0331
15	 55	 14	 0511	0258	 0332
15	 55	 14	 0588	0258	 0332
15	 55	 14	 0665	0260	 0332
15	 55	 14	 0722	0260	 0332
15	 55	 14	 0791	0261	 0332
15	 55	 14	 0873	0262	 0332
15	 55	 14	 0951	0262	 0332
15	 55	 15	 0027	0263	 0333
15	 55	 15	 0088	0264	 0333
15	 55	 15	 0168	0264	 0333
15	 55	 15	 0245	0265	 0333
15	 55	 15	 0298	0265	 0333
15	 55	 15	 0355	0266	 0334
15	 55	 15	 0426	0267	 0334
15	 55	 15	 0479	0267	 0333
15	 55	 15	 0533	0268	 0334
15	 55	 15	 0591	0268	 0334
15	 55	 15	 0663	0269	 0334
15	 55	 15	 0747	0269	 0334
15	 55	 15	 0825	0270	 0334
15	 55	 15	 0902	0271	 0334
15	 55	 15	 0982	0271	 0334
15	 55	 16	 0057	0272	 0334
15	 55	 16	 0118	0273	 0334
15	 55	 16	 0176	0273	 0334
$$END TRACK
$NEW TRACK
HR	 MIN	 SEC	 MSEC	 X(px)	 Y(px)
15	 55	 05	 0243	0269	 0230
15	 55	 05	 0388	0277	 0228
15	 55	 05	 0466	0275	 0229
15	 55	 05	 0540	0275	 0230
